Season,Mapped ESPN Team Name,Seed,Net Rating,Adjusted Tempo,Adjusted Offensive Efficiency,Avg Possession Length (Offense),eFGPct,TOPct,ORPct,FTRate,Off3PtFG,FTPct,Bench,Adjusted Defensive Efficiency,Avg Possession Length (Defense),DefFT,cinderella
2009,Wisconsin,12,17.599999999999994,59.1,113.3,NA,49.911,15.9844,31.5998,34.5789,30.3419,72.5557,26.36,95.7,NA,20.0205,0
2010,Old Dominion,11,17.5,62.6,107.8,18.4,48.7391,19.9649,42.0802,30.3104,20.6211,64.8,30.53,90.3,19.6,17.8347,0
2007,Illinois,12,17.5,62,107.3,NA,49.7541,21.6487,37.4837,37.1585,32.2049,62.3529,32.09,89.8,NA,20.8626,0
2002,Missouri,12,17.5,70.1,116.2,NA,52.996,19.959,39.659,31.4692,33.9937,68.9704,NA,98.7,NA,19.7318,0
2021,Rutgers,10,17.5,67.4,108.1,17.2,50.0605326876513,16.7526697936577,27.6938569989929,27.1186440677966,26.6116554925219,63.6160714285714,26.17,90.6,17.9,19.4400422609614,0
2017,Kansas State,11,17.400000000000006,66.2,113,17.6,52.7084439723845,19.1136216199111,29.5434198746643,41.157727031333,29.3697978596908,69.4193548387097,24.95,95.6,18.1,19.7301854974705,0
2022,San Francisco,10,17.400000000000006,68.9,110.5,17.3,53.0984507746127,17.9017752237722,29.9488054607509,28.535732133933,36.5621278285034,69.0017513134851,30.4,93.1,16.6,19.9011680143756,0
2023,Utah State,10,17.39999999999999,68.6,116.3,17,55.4683411826269,17.5678686228955,27.3831775700935,34.850863422292,34.6768060836502,76.5765765765766,23.03,98.9,17.7,18.9234650967199,0
2019,Saint Mary's,11,17.299999999999997,62.7,114.7,20.3,53.8320209973753,16.2854747934379,31.0697674418605,29.1338582677165,30.816077953715,74.2342342342342,24.03,97.4,17.3,17.9862700228833,0
2025,Xavier,11,17.200000000000003,69.2,116.2,16.3,54.0505675954592,15.6044626239472,24.4444444444444,36.687306501548,32.191265060241,78.9029535864979,24.21,99,18.1,16.9679539852095,0
2005,Iowa,10,17.200000000000003,68.1,111.9,NA,51.6658,20.6017,32.5285,40.6881,26.1737,69.1275,NA,94.7,NA,19.3606,0
2026,VCU,11,17.200000000000003,68.5,119.9,16.5,54.199269692227404,15.3888071494741,32.8358208955224,44.0271257172666,33.9622641509434,74.0521327014218,35.88,102.7,18,19.5523648648649,0
2016,VCU,10,17.099999999999994,69.6,112.1,17,50.983,16.3273,33.18486,32.21626,28.2632,69.2094,34.55,95,17,20.2459,0
2013,Ole Miss,12,17,69.2,112.3,16.2,49.148,15.9397,34.0991,38.8341,25.6927,67.7829,29.77,95.3,17.9,18.1818,0
